Iraqi Oil Ministry	x
reaches	x
deals	n
with	x
<number>	x
foreign	j
oil companies	x
Despite	x
concerns	n
about	x
violence	n
and	x
political	j
instability	n
,	x
the	x
Iraqi	j
government	n
managed	x
to	x
attract	x
major	j
oil companies	x
to	x
rebuild	x
its	x
ailing	j
infrastructure	n
during	x
two	x
auctions	n
that	x
concluded	x
Saturday	x
<eos>	x
The	x
<number>	x
deals	n
the	x
Iraqi Oil Ministry	x
reached	x
with	x
foreign	j
oil companies	x
suggest	x
that	x
China	x
,	x
Russia	x
and	x
European	j
oil	n
firms	n
are	v
poised	x
to	x
play	x
a	x
major	j
role	n
in	x
refurbishing	x
Iraq	x
's	x
oil industry	x
,	x
crippled	x
by	x
decades	n
of	x
war	n
and	x
sanctions	n
<eos>	x
American	j
companies	n
walked	x
away	r
with	x
stakes	n
in	x
just	r
two	x
of	x
the	x
<number>	x
auctioned	x
fields	n
<eos>	x
Seven	x
American	j
companies	n
had	x
paid	x
to	x
participate	x
in	x
the	x
second	j
auction	n
,	x
which	x
began	x
Friday	x
<eos>	x
The	x
only	j
one	x
that	x
submitted	x
a	x
bid	n
lost	x
<eos>	x
Two	x
American	j
companies	n
reached	x
deals	n
for	x
fields	n
auctioned	x
in	x
June	x
<eos>	x
The	x
meager	j
representation	n
of	x
American	j
oil	n
giants	n
in	x
Iraq	x
's	x
opening	x
oil industry	x
surprised	j
analysts	n
<eos>	x
Iraq	x
finally	r
opened	x
its	x
doors	n
after	x
six	x
years	n
of	x
war	n
,	x
and	x
instead	r
of	x
U.S.	x
companies	n
,	x
you	x
have	x
Asians	x
and	x
Europeans	x
leading	x
the	x
way	n
,	x
said	x
Ruba	x
Husari	x
,	x
the	x
editor	n
of	x
Iraq	x
Oil	x
Forum	x
,	x
an	x
online	j
news	n
outlet	n
<eos>	x
It	x
will	x
be	v
a	x
long time	x
before	x
anything	n
else	r
will	x
be	v
on	x
offer	n
in	x
Iraq	x
<eos>	x
Concerns	n
over	x
security	n
,	x
underscored	x
by	x
massive	j
coordinated	x
bombings	n
Tuesday	x
,	x
and	x
political	j
instability	n
as	x
the	x
U.S.	x
military	n
withdraws	x
,	x
likely	r
kept	x
American	j
oil companies	x
from	x
venturing	x
more	r
forcefully	r
in	x
Iraq	x
,	x
which	x
has	x
the	x
world	n
's	x
third-largest	j
proven	j
crude	j
reserves	n
,	x
analysts	n
said	x
<eos>	x
U.S.	x
firms	n
were	v
in	x
some	x
cases	n
at	x
a	x
disadvantage	n
because	x
rivals	n
,	x
particularly	r
the	x
Chinese	j
and	x
other	j
government	n
controlled	x
energy	n
firms	n
,	x
have	x
markedly	r
lower	j
labor costs	n
and	x
are	v
more	r
prone	j
to	x
take	x
risks	n
because	x
they	x
do	x
n't	r
respond	x
to	x
shareholders	n
<eos>	x
Exxon-Mobil	x
and	x
Occidental Petroleum	x
Inc.	x
were	v
the	x
only	j
American	j
companies	n
that	x
reached	x
deals	n
with	x
the	x
ministry	n
<eos>	x
Major	j
U.S.	x
firms	n
such	j
as	x
Chevron	x
and	x
ConocoPhillips	x
,	x
which	x
have	x
cultivated	x
close	j
ties	n
with	x
the	x
Iraqi Oil Ministry	x
and	x
have	x
provided	x
technical	j
advice	n
in	x
recent	j
years	n
,	x
walked	x
away	r
empty-handed	j
<eos>	x
Russian	j
companies	n
Lukoil	x
and	x
Gazprom	x
were	v
the	x
top	j
stakeholders	n
in	x
two	x
of	x
the	x
contracts	n
awarded	x
this	x
weekend	n
<eos>	x
State-owned	j
China National Petroleum Corporation	x
bid	n
on	x
more	j
contracts	n
than	x
any	x
other	j
company	n
and	x
walked	x
away	r
with	x
large	j
stakes	n
in	x
contracts	n
for	x
two	x
major	j
fields	n
<eos>	x
We	x
all	r
know	x
that	x
China	x
is	v
on	x
track	n
to	x
become	x
a	x
major	j
economic	j
as	r
well	r
as	x
technological	j
power	n
,	x
Oil Ministry	x
spokesman	n
Assam	x
Jihad	x
said	x
<eos>	x
We	x
feel	x
confident	j
that	x
the	x
Chinese	j
company	n
will	x
be	v
on	x
par	n
with	x
its	x
competitors	n
and	x
will	x
deliver	x
on	x
its	x
commitments	n
towards	x
Iraq	x
<eos>	x
Companies	n
pre-selected	j
to	x
submit	x
bids	n
made	x
offers	n
that	x
were	v
then	r
compared	x
to	x
the	x
per	x
barrel	n
fee	n
the	x
ministry	n
was	v
willing	j
to	x
pay	x
for	x
boosting	x
output	n
above	x
current	j
levels	n
at	x
each	x
field	n
<eos>	x
